,planningscene__is_diff,planningscene__name,planningscene__robot_model_name,planningscene__robot_state_is_diff,planningscene__world_octomap_octomap_binary,planningscene__world_octomap_octomap_id,planningscene__world_octomap_octomap_resolution,planningscene__world_octomap_origin_orientation_w,planningscene__world_octomap_origin_orientation_x,planningscene__world_octomap_origin_orientation_y,planningscene__world_octomap_origin_orientation_z,planningscene__world_octomap_origin_position_x,planningscene__world_octomap_origin_position_y,planningscene__world_octomap_origin_position_z,weldingCosts__layout_data_offset
2017-04-06 07:37:00.302899200,,,,,,,,,,,,,,,
2017-04-06 07:37:00.316293120,1.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2017-04-06 07:36:53.939820544,,,,,,,,,,,,,,,
2017-04-06 07:37:00.303091712,,,,,,,,,,,,,,,
2017-04-06 07:37:00.332530688,,,,,,,,,,,,,,,0.0
